

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
092.986  000.077  000.077: require('nvim-tree.actions.fs.rename-file')
093.085  000.096  000.096: require('nvim-tree.actions.fs.trash')
093.169  000.082  000.082: require('nvim-tree.actions.fs.remove-file')
093.245  000.072  000.072: require('nvim-tree.actions.moves.parent')
093.320  000.072  000.072: require('nvim-tree.actions.moves.sibling')
093.392  000.069  000.069: require('nvim-tree.actions.moves.item')
093.476  000.078  000.078: require('nvim-tree.actions.finders.search-node')
093.548  000.070  000.070: require('nvim-tree.actions.node.run-command')
093.625  000.074  000.074: require('nvim-tree.actions.node.file-popup')
093.710  000.083  000.083: require('nvim-tree.actions.node.system-open')
093.788  000.075  000.075: require('nvim-tree.marks.bulk-move')
093.792  001.208  000.130: require('nvim-tree.actions.dispatch')
093.814  005.471  000.226: require('nvim-tree')
096.934  000.166  000.166: require('nvim-tree.actions')
097.047  000.106  000.106: require('nvim-tree.actions.node.open-file')
098.222  000.086  000.086: require('nvim-tree.marks.navigation')
098.227  000.224  000.137: require('nvim-tree.api')
098.242  000.355  000.131: require('nvim-tree.keymap')
098.861  000.094  000.094: require('marks.utils')
098.868  000.199  000.106: require('marks.mark')
098.967  000.097  000.097: require('marks.bookmark')
098.999  000.444  000.147: require('marks')
099.326  000.101  000.101: require('ufo')
099.554  000.105  000.105: require('ufo.utils')
099.811  000.075  000.075: require('promise-async.utils')
099.892  000.078  000.078: require('promise-async.error')
099.979  000.080  000.080: require('promise-async.loop')
099.988  000.343  000.110: require('promise')
100.108  000.117  000.117: require('ufo.lib.log')
100.112  000.555  000.094: require('ufo.provider')
100.296  000.093  000.093: require('ufo.config')
100.454  000.081  000.081: require('promise-async.compat')
100.459  000.160  000.079: require('async')
100.599  000.068  000.068: require('ufo.lib.disposable')
100.603  000.142  000.074: require('ufo.lib.event')
100.854  000.079  000.079: require('ufo.model.buffer')
100.931  000.075  000.075: require('ufo.model.foldedline')
100.937  000.248  000.094: require('ufo.model.foldbuffer')
101.018  000.079  000.079: require('ufo.bufmanager')
101.195  000.028  000.028: require('ffi')
101.228  000.132  000.104: require('ufo.wffi')
101.231  000.211  000.079: require('ufo.fold.driver')
101.235  000.631  000.094: require('ufo.fold.manager')
101.319  000.080  000.080: require('ufo.lib.debounce')
101.392  001.279  000.173: require('ufo.fold')
101.651  000.077  000.077: require('ufo.highlight')
101.726  000.072  000.072: require('ufo.render.extmark')
101.902  000.103  000.103: require('vim.treesitter.highlighter')
101.905  000.176  000.073: require('ufo.render.treesitter')
101.984  000.077  000.077: require('ufo.render.match')
101.988  000.495  000.092: require('ufo.render')
101.992  000.597  000.102: require('ufo.decorator')
102.255  000.163  000.163: require('ufo.preview.floatwin')
102.338  000.080  000.080: require('ufo.preview.scrollbar')
102.420  000.080  000.080: require('ufo.preview.winbar')
102.503  000.080  000.080: require('ufo.preview.keymap')
102.512  000.518  000.114: require('ufo.preview')
102.519  003.159  000.105: require('ufo.main')
102.962  000.081  000.081: require('nvim-autopairs._log')
103.063  000.097  000.097: require('nvim-autopairs.utils')
103.331  000.100  000.100: require('nvim-autopairs.conds')
103.338  000.188  000.088: require('nvim-autopairs.rule')
103.340  000.274  000.086: require('nvim-autopairs.rules.basic')
103.350  000.615  000.162: require('nvim-autopairs')
104.059  000.093  000.093: require('dap.utils')
104.126  000.350  000.256: require('dap')
104.558  000.114  000.114: require('dapui.config')
104.564  000.211  000.098: require('dapui.util')
104.739  000.099  000.099: require('dapui.render.canvas')
104.823  000.081  000.081: require('dapui.render.loop')
104.826  000.259  000.080: require('dapui.render')
104.918  000.090  000.090: require('dapui.windows.layout')
104.922  000.668  000.107: require('dapui.windows')
104.929  000.800  000.132: require('dapui')
105.255  000.109  000.109: require('dapui.config.highlights')
105.436  000.116  000.116: require('dapui.state')
105.531  000.081  000.081: require('dapui.elements.repl')
105.656  000.121  000.121: require('dapui.elements.console')
105.894  000.084  000.084: require('dapui.components.variables')
105.898  000.163  000.080: require('dapui.components.hover')
105.901  000.238  000.075: require('dapui.elements.hover')
105.975  000.070  000.070: require('dapui.elements.stacks')
106.134  000.075  000.075: require('dapui.components.frames')
106.137  000.159  000.084: require('dapui.components.threads')
106.307  000.165  000.165: require('dapui.elements.breakpoints')
106.506  000.091  000.091: require('dapui.components.buf_breakpoints')
106.510  000.197  000.106: require('dapui.components.breakpoints')
106.599  000.080  000.080: require('dapui.elements.scopes')
106.682  000.080  000.080: require('dapui.components.scopes')
106.763  000.075  000.075: require('dapui.elements.watches')
106.853  000.088  000.088: require('dapui.components.watches')
107.611  000.151  000.151: require('nvim-dap-virtual-text')
107.776  000.098  000.098: require('Comment')
107.972  000.086  000.086: require('Comment.config')
108.192  000.123  000.123: require('Comment.ft')
108.199  000.225  000.102: require('Comment.utils')
108.285  000.084  000.084: require('Comment.opfunc')
108.363  000.076  000.076: require('Comment.extra')
108.371  000.592  000.121: require('Comment.api')
108.855  000.181  000.181: require('nvim-surround.config')
108.862  000.282  000.101: require('nvim-surround.buffer')
108.941  000.077  000.077: require('nvim-surround.cache')
109.098  000.076  000.076: require('nvim-surround.patterns')
109.102  000.158  000.082: require('nvim-surround.utils')
109.106  000.634  000.116: require('nvim-surround')
109.823  000.088  000.088: require('telescope._extensions')
109.828  000.203  000.116: require('telescope')
110.073  000.076  000.076: require('telescope.state')
110.507  000.088  000.088: require('plenary.bit')
110.590  000.079  000.079: require('plenary.functional')
110.620  000.337  000.171: require('plenary.path')
110.629  000.428  000.091: require('plenary.strings')
110.706  000.075  000.075: require('telescope.deprecated')
111.142  000.185  000.185: require('plenary.log')
111.169  000.318  000.133: require('telescope.log')
111.435  000.131  000.131: require('plenary.job')
111.446  000.275  000.144: require('telescope.utils')
111.534  000.825  000.232: require('telescope.sorters')
113.779  003.703  002.375: require('telescope.config')
113.785  003.866  000.087: require('telescope.actions.state')
115.134  000.109  000.109: require('telescope.config.resolve')
115.220  000.082  000.082: require('telescope.pickers.window')
115.249  001.461  001.270: require('telescope.pickers.layout_strategies')
115.338  000.087  000.087: require('telescope.actions.mt')
115.360  005.529  000.115: require('telescope.actions.layout')
115.450  000.087  000.087: require('telescope.themes')
118.205  000.109  000.109: require('telescope._extensions.dash')
118.291  000.080  000.080: require('dash')
120.361  002.067  002.067: require('libdash_nvim')
120.896  000.364  000.364: require('fzf_lib')
120.905  000.484  000.120: require('telescope._extensions.fzf')
121.235  000.095  000.095: require('telescope._extensions.file_browser.utils')
121.636  000.104  000.104: require('plenary.window.border')
121.715  000.076  000.076: require('plenary.window')
121.788  000.070  000.070: require('plenary.popup.utils')
121.793  000.378  000.128: require('plenary.popup')
121.872  000.078  000.078: require('telescope.pickers.scroller')
121.959  000.083  000.083: require('telescope.actions.utils')
122.063  000.102  000.102: require('telescope.actions.set')
122.145  000.079  000.079: require('telescope.pickers.entry_display')
122.217  000.070  000.070: require('telescope.from_entry')
122.460  001.222  000.433: require('telescope.actions')
122.527  001.523  000.206: require('telescope._extensions.file_browser.actions')
122.740  000.111  000.111: require('telescope._extensions.file_browser.make_entry')
123.189  000.070  000.070: require('plenary.tbl')
123.194  000.149  000.080: require('plenary.vararg.rotate')
123.196  000.222  000.072: require('plenary.vararg')
123.273  000.075  000.075: require('plenary.errors')
123.281  000.382  000.085: require('plenary.async.async')
123.572  000.071  000.071: require('plenary.async.structs')
123.581  000.159  000.088: require('plenary.async.control')
123.589  000.238  000.079: require('plenary.async.util')
123.591  000.308  000.070: require('plenary.async.tests')
123.594  000.773  000.084: require('plenary.async')
123.748  000.069  000.069: require('plenary.class')
123.762  000.167  000.098: require('telescope._')
123.957  000.193  000.193: require('telescope.make_entry')
123.960  001.217  000.084: require('telescope.finders.async_oneshot_finder')
124.170  000.092  000.092: require('telescope.finders.async_static_finder')
124.262  000.089  000.089: require('telescope.finders.async_job_finder')
124.272  000.309  000.128: require('telescope.finders')
124.444  000.171  000.171: require('plenary.scandir')
124.496  001.967  000.159: require('telescope._extensions.file_browser.finders')
124.933  000.156  000.156: require('telescope.debounce')
125.130  000.194  000.194: require('telescope.mappings')
125.248  000.113  000.113: require('telescope.pickers.highlights')
125.447  000.097  000.097: require('telescope.algos.linked_list')
125.453  000.202  000.105: require('telescope.entry_manager')
125.542  000.086  000.086: require('telescope.pickers.multi')
125.567  000.975  000.223: require('telescope.pickers')
125.570  001.072  000.097: require('telescope._extensions.file_browser.picker')
125.689  000.116  000.116: require('telescope._extensions.file_browser.config')
125.693  004.780  000.102: require('telescope._extensions.file_browser')
126.213  000.089  000.089: require('telescope.previewers.previewer')
126.442  000.226  000.226: require('telescope.previewers.term_previewer')
126.887  000.090  000.090: require('plenary.context_manager')
127.257  000.141  000.141: require('nvim-treesitter.info')
127.385  000.125  000.125: require('nvim-treesitter.shell_command_selectors')
127.425  000.450  000.184: require('nvim-treesitter.install')
127.521  000.093  000.093: require('nvim-treesitter.statusline')
127.646  000.122  000.122: require('nvim-treesitter.query_predicates')
127.650  000.758  000.093: require('nvim-treesitter')
127.658  001.021  000.172: require('telescope.previewers.utils')
129.745  002.013  002.013: require('plenary.filetype')
129.827  003.382  000.348: require('telescope.previewers.buffer_previewer')
129.834  003.813  000.117: require('telescope.previewers')
141.025  011.188  011.188: require('telescope._extensions.packer.plugin_list')
141.071  015.171  000.170: require('telescope._extensions.packer')
141.226  000.142  000.142: require('telescope._extensions.ui-select')
141.340  000.098  000.098: require('vim.ui')
141.865  000.199  000.199: require('telescope.builtin.__lsp')
141.920  000.438  000.238: require('telescope.builtin')
141.927  000.565  000.127: require('telescope._extensions.dap')
142.082  000.153  000.153: require('dap.ui')
142.433  000.167  000.167: require('beps.mac')
142.437  130.007  028.878: sourcing /Users/beps/.config/nvim/init.lua
142.454  004.043: sourcing vimrc file(s)
144.343  001.763  001.763: require('vim.filetype')
144.352  001.805  000.042: sourcing /Users/beps/.config/nvim/filetype.lua
145.288  000.032  000.032: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/cheatsheet.nvim/ftdetect/cheatsheet.vim
145.563  000.020  000.020: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
145.836  000.075  000.075: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/Nvim-R/ftdetect/r.vim
146.167  000.019  000.019: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
146.888  001.885  001.738: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/filetype.lua
146.993  000.022  000.022: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/filetype.vim
147.638  000.117  000.117: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/syntax/synload.vim
147.993  000.847  000.730: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/syntax/syntax.vim
150.748  000.022  000.022: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/plugin/gzip.vim
150.825  000.015  000.015: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/plugin/health.vim
150.899  000.017  000.017: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/plugin/matchit.vim
150.970  000.015  000.015: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/plugin/matchparen.vim
151.051  000.024  000.024: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/plugin/netrwPlugin.vim
151.363  000.017  000.017: sourcing /Users/beps/.local/share/nvim/rplugin.vim
151.373  000.264  000.247: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/plugin/rplugin.vim
151.516  000.085  000.085: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/plugin/shada.vim
151.617  000.030  000.030: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/plugin/spellfile.vim
151.699  000.021  000.021: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/plugin/tarPlugin.vim
151.784  000.016  000.016: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/plugin/tohtml.vim
151.875  000.026  000.026: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/plugin/tutor.vim
151.955  000.022  000.022: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/plugin/zipPlugin.vim
153.750  000.117  000.117: require('cmp.utils.highlight')
154.341  000.763  000.647: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
156.426  004.157  003.393: sourcing /Users/beps/.config/nvim/plugin/packer_compiled.lua
157.139  000.068  000.068: sourcing /Users/beps/sw/nvim-macos/share/nvim/runtime/plugin/man.lua
157.178  005.383: loading rtp plugins
158.453  000.064  000.064: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/cheatsheet.nvim/plugin/cheatsheet.vim
159.692  000.205  000.205: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
160.118  000.117  000.117: require('dash.startup')
164.072  004.121  004.003: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/dash.nvim/plugin/dash.vim
164.958  000.083  000.083: require('diffview.lazy')
165.087  000.124  000.124: require('diffview.oop')
165.118  000.342  000.135: require('diffview.events')
165.194  000.571  000.229: require('diffview.bootstrap')
165.216  000.646  000.075: sourcing /Users/beps/.local/share/nvim/site/pack/packer/start/diffview.nvim/plugin/diffview.lua
166.250  000.106  000.106: require('indent_blankline.commands')
